"X Business Group, Inc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advasarial Insight,,,,,,
Infra/Mode of Operation-> Requirement/s ,,,,,Framework (Controls),,,Compliances,,,,,,,,,,,,,,Regulatory Requirements,,,,,,,,,,Standards,,,,,,,,,,,,MITRE ATT&CK,,ISMS,,,,OS HARDENING
,Potential Security Risks,Potential Vulnerabilities,Education+Awareness,Relevant Questionaire/s,Operation ,Management,Technology,PCI-DSS,HIPPA,CMMC ,GDPR,CCPA,SOC 2 (SysOrgC2,ISO/IEC 27001,Cyber Essentials (UK),FERPA,GLBA,PIPEDA,FTC Sageguard Rules,SBA CSG,MITRE ATT&CK,PCI-DSS,COPPA,HIPAA ,GDPR ,CCPA ,GLBA ,FERPA ,PIPEDA ,FTC Safeguard rules ,FISMA,DFARS,ISO/IEC 27001,ISO/IEC 27002,NIST Cybersecurity Framework (CSF),NIST SP 800-53,ISO/IEC 27018,ISO/IEC 27005,CIS CSC,NIST SP 800-171,ISO/IEC 27005,ITIL,COBIT,Tactic,Technique,Policies,Procedures,Plans,Process,STIG+SCAP
Internet Presence (Website and social media),"Phishing & Spoofing - Website, Social Engineering - SocMedia, Impersonation - SocMed, Data Privacy Violation - SocMed, Data Breaches - Website, SQL Injection - Website, DDoS Attacks - Website, Reputational Damages - SocMed, Account Hijacking - SocMed, Malware & Hacking - Website","Weak Authentication and Access Control - Website, Unpatched Software an Plugins - Website, Insecure File Uploads - Website, Cross-Site Scripting (XSS) -Website, Unsecured APIs - Website, Misconfigured Servers - Website, Third-Party Dependencies - Website, SQL Injection - Website",No,"SAQ A, SAQ B, SAQ C","*NIST CSF, *CYBER ESS UK, ""MITRE ATT&CK, PCI-DSS"", ""*CIS CSC V8, .2""","*NIST CSF, ""*CIS CSC V8, .2"", *CYBER ESS UK, *CMMC, MITRE ATT&CK","""MITRE ATT&CK, PCI-DSS"", ""*CIS CSC V8, .2"", *NIST CSF, *CYBER ESS UK, *CMMC, *PCI-DSS",NO,N/A,NO,NO,N/A,N/A,NO,NO,N/A,N/A,N/A,N/A,N/A,NO,NO,N/A,N/A,NO,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,N/A,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Initial Access (TA0001), Defense Evasion (TA0005), Lateral Movement (TA0008), Exfiltration (TA0010)","Phishing (T1566), T1595: Active Scanning","Acceptable Use Policy (AUP), Access Control Policy, Incident Response Policy, Remote Work Policy, Email and Communication Policy, Vendor Management Policy, Information Security Policy","Access Control Procedures, Data Protection Procedures, Incident Response Procedures","Business Continuity Plan (BCP), Disaster Recovery Plan (DRP):, Incident Response Plan (IRP):, Employee Training Plan, Audit Plan:, Technology Lifecyble Plan, SOC Monitoring Plan","Business Continuity Plan (BCP), Disaster Recovery Plan (DRP):, Incident Response Plan (IRP):, Employee Training Plan, Audit Plan:, Technology Lifecyble Plan, SOC Monitoring Plan",
Internet Presence with VM (Cloud-Based),N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
POS System Cellular Data Network: No ISP Internet Footprint,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Initial Access (TA0001), Privilege Escalation (TA0004), Defense Evasion (TA0005), Command and Control (TA0011), Exfiltration (TA0010)","Phishing (T1566), T1580: Obtain Capabilities , T1583: Acquire Infrastructure , T1595: Active Scanning , T1592: Gather Victim Host Information","Acceptable Use Policy (AUP), Access Control Policy, Information Security Policy, Data Protection and Privacy Policy, Incident Response Policy, Remote Work Policy, Vendor Management Policy, Email and Communication Policy","Access Control Procedures, Data Protection Procedures, Incident Response Procedures","Business Continuity Plan (BCP), Disaster Recovery Plan (DRP):, Incident Response Plan (IRP):, Employee Training Plan, Audit Plan:, Technology Lifecyble Plan, SOC Monitoring Plan","Business Continuity Plan (BCP), Disaster Recovery Plan (DRP):, Incident Response Plan (IRP):, Employee Training Plan, Audit Plan:, Technology Lifecyble Plan, SOC Monitoring Plan",
POS System Cellular Data Network:ISP Internet Footprint,"Phishing & Spoofing - Website, Social Engineering - SocMedia, Impersonation - SocMed, Data Privacy Violation - SocMed, Data Breaches - Website","Weak Authentication and Access Control - Website, Unpatched Software an Plugins - Website, Insecure File Uploads - Website, Cross-Site Scripting (XSS) -Website, Unsecured APIs - Website, Misconfigured Servers - Website, Third-Party Dependencies - Website, SQL Injection - Website",No,"SAQ A, SAQ B, SAQ C","""MITRE ATT&CK, PCI-DSS"", *CYBER ESS UK, *NIST CSF, ""*CIS CSC V8, .2"", *CMMC, *PCI-DSS","*NIST CSF, ""*CIS CSC V8, .2"", *CYBER ESS UK, *CMMC, MITRE ATT&CK","""MITRE ATT&CK, PCI-DSS"", ""*CIS CSC V8, .2"", *NIST CSF, *CYBER ESS UK, *CMMC, *PCI-DSS",NO,N/A,NO,NO,N/A,N/A,NO,NO,N/A,N/A,N/A,N/A,N/A,NO,NO,,,NO,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,N/A,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Email Use without Website (Social media only),N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Internet Access via ISP,"Phishing & Spoofing - Website, Social Engineering - SocMedia, Data Privacy Violation - SocMed, Data Breaches - Website, Malware & Hacking - Website, DDoS Attacks - Website","Weak Authentication and Access Control - Website, Unpatched Software an Plugins - Website, Insecure File Uploads - Website, Cross-Site Scripting (XSS) -Website, Unsecured APIs - Website, Misconfigured Servers - Website, Third-Party Dependencies - Website, SQL Injection - Website",No,"SAQ A, SAQ B, SAQ C","""MITRE ATT&CK, PCI-DSS"", ""*CIS CSC V8, .2"", *NIST CSF, *CYBER ESS UK, *CMMC","*NIST CSF, ""*CIS CSC V8, .2"", *CYBER ESS UK, *CMMC, MITRE ATT&CK","""MITRE ATT&CK, PCI-DSS"", ""*CIS CSC V8, .2"", *NIST CSF, *CYBER ESS UK, *CMMC, *PCI-DSS",NO,N/A,NO,NO,N/A,N/A,NO,NO,N/A,N/A,N/A,N/A,N/A,NO,NO,,,NO,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,N/A,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Initial Access (TA0001), Discovery (TA0007), Credential Access (TA0006), Collection (TA0009)","T1592: Gather Victim Host Information , T1595: Active Scanning , T1583: Acquire Infrastructure , T1580: Obtain Capabilities , Phishing (T1566)","Acceptable Use Policy (AUP), Access Control Policy, Information Security Policy, Data Protection and Privacy Policy, Incident Response Policy, Remote Work Policy, Vendor Management Policy, Email and Communication Policy","Access Control Procedures, Data Protection Procedures, Incident Response Procedures","Business Continuity Plan (BCP), Disaster Recovery Plan (DRP):, Incident Response Plan (IRP):, Employee Training Plan, Audit Plan:, Technology Lifecyble Plan, SOC Monitoring Plan","Business Continuity Plan (BCP), Disaster Recovery Plan (DRP):, Incident Response Plan (IRP):, Employee Training Plan, Audit Plan:, Technology Lifecyble Plan, SOC Monitoring Plan",
Internet Access Mobile Data/Hotspots,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"AI application/s (ChatGpt, Grog, Copilot, Watson, Meta) ",,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firewall and VPN Solutions,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Endpoint and Device Security (EDR, MDM)",,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Segmentation,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backup and Disaster Recovery,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email Filtering and Anti-Phishing Tools,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-Factor Authentication (MFA),,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNS Filtering and Secure DNS,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cloud Security Tools (CASB, WAF)",,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incident Response Plan,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee Training on Cybersecurity Threats,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Encryption and DLP Tools,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
